id,organization,entry_date,heading,attachment,creation_date,recommend_date,target_price_date,target_price_date_epoch,target_price,recommended_price,scid,stkname,stockShortName,cmp,change,perChange,current_returns,potential_returns_per,exchange,recommended_price_falg,target_price_flag,stock_data,stk_url,recommend_flag
13792209,Motilal Oswal,2026-01-27,Buy Atul; target of Rs 7500: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/01/20260127090106_Atul_27012026_Motilal-Oswal.pdf,20260127143451,"January 25, 2026",2026-01-25,20260125,7500,5826.45,A06,Atul,Atul,6536.00,-64.00,-0.97,12.1,14.7,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '7500', 'target_price_date': '25/01/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",chemicals/atul/A06,BUY
13791847,Prabhudas Lilladher,2026-01-27,Buy Kotak Mahindra Bank; target of Rs 500: Prabhudas Lilladher,https://images.moneycontrol.com/static-mcnews/2026/01/20260127062030_Kotak-Mahindra-Bank-2701026-prabhu.pdf,20260127115050,"January 25, 2026",2026-01-25,20260125,500,422.2,KMF,Kotak Mahindra Bank,Kotak Mahindra,379.20,-4.40,-1.15,-10.1,31.8,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '500', 'target_price_date': '25/01/2026', 'P_ORGANIZATION': 'Prabhudas Lilladher'}, 'previous': []}",banks-private-sector/kotakmahindrabank/KMB,BUY
13788371,ICICI Securities,2026-01-23,Buy Zee Entertainment Enterprises; target of Rs 120: ICICI Securities,https://images.moneycontrol.com/static-mcnews/2026/01/20260123092943_Zee-Entertainment-Enterprises_23012026_ICICI-Securities.pdf,20260123150057,"January 23, 2026",2026-01-23,20260123,120,81.39,ZT,Zee Entertainment Enterprises,Zee Entertain,87.60,6.56,8.09,7.6,36.9,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '120', 'target_price_date': '23/01/2026', 'P_ORGANIZATION': 'ICICI Securities'}, 'previous': []}",mediaentertainment/zeeentertainmententerprises/ZEE,BUY
13788370,ICICI Securities,2026-01-23,Buy Ujjivan Small Finance Bank; target of Rs 75: ICICI Securities,https://images.moneycontrol.com/static-mcnews/2026/01/20260123092924_Ujjivan-Small-Finance-Bank_23012026_ICICI-Securities.pdf,20260123150011,"January 23, 2026",2026-01-23,20260123,75,63.08,USF,Ujjivan Small Finance Bank,Ujjivan Small,57.41,-1.32,-2.25,-8.9,30.6,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '75', 'target_price_date': '23/01/2026', 'P_ORGANIZATION': 'ICICI Securities'}, 'previous': []}",bank-private/ujjivansmallfinancebank/USF,BUY
13788368,ICICI Securities,2026-01-23,Buy Tatva Chintan Pharma Chem; target of Rs 1955: ICICI Securities,https://images.moneycontrol.com/static-mcnews/2026/01/20260123092906_Tatva-Chintan-Pharma-Chem_22012026_ICICI-Securities.pdf,20260123150007,"January 22, 2026",2026-01-22,20260122,1955,1275.4,TCP02,Tatva Chintan Pharma Chem,Tatva Chintan,1300.40,22.10,1.73,1.9,50.3,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '1955', 'target_price_date': '22/01/2026', 'P_ORGANIZATION': 'ICICI Securities'}, 'previous': []}",speciality-chemicals/tatvachintanpharmachem/TCP03,BUY
13788369,ICICI Securities,2026-01-23,Buy Tata Communication; target of Rs 2250: ICICI Securities,https://images.moneycontrol.com/static-mcnews/2026/01/20260123092845_Tata-Communication_22012026_ICICI-Securities.pdf,20260123150006,"January 22, 2026",2026-01-22,20260122,2250,1547.15,VSN,Tata Communications,Tata Comm,1515.70,-5.40,-0.36,-2.0,48.4,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '2250', 'target_price_date': '22/01/2026', 'P_ORGANIZATION': 'ICICI Securities'}, 'previous': []}",telecommunications-service/tatacommunications/TC17,BUY
13788367,ICICI Securities,2026-01-23,Buy Orient Electric; target of Rs 210: ICICI Securities,https://images.moneycontrol.com/static-mcnews/2026/01/20260123092827_Orient-Electric_23012026_ICICI-Securities.pdf,20260123150004,"January 23, 2026",2026-01-23,20260123,210,178.5,ORIEN54130,Orient Electric Limited,Orient Electric,180.96,1.40,0.78,1.3,16.0,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '210', 'target_price_date': '23/01/2026', 'P_ORGANIZATION': 'ICICI Securities'}, 'previous': []}",consumer-goods-electronic/orientelectriclimited/ORIEN54130,BUY
13788365,ICICI Securities,2026-01-23,Buy Jindal Stainless; target of Rs 860: ICICI Securities,https://images.moneycontrol.com/static-mcnews/2026/01/20260123092800_Jindal-Stainless_23012026_ICICI-Securities.pdf,20260123145959,"January 23, 2026",2026-01-23,20260123,860,745.65,JS07,Jindal Stainless,Jindal Stainles,789.90,1.70,0.22,5.9,8.8,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '860', 'target_price_date': '23/01/2026', 'P_ORGANIZATION': 'ICICI Securities'}, 'previous': []}",steel-mediumsmall/jindalstainless/JSL01,BUY
13788201,ICICI Securities,2026-01-23,Buy ITC Hotels; target of Rs 250: ICICI Securities,https://images.moneycontrol.com/static-mcnews/2026/01/20260123090720_ITC-Hotels_22012026_ICICI-Securities.pdf,20260123143827,"January 20, 2026",2026-01-20,20260120,250,180.3,IHL01,ITC Hotels,ITC Hotels,162.14,-0.38,-0.23,-10.0,54.1,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '250', 'target_price_date': '20/01/2026', 'P_ORGANIZATION': 'ICICI Securities'}, 'previous': []}",hotel-resortrestaurants/itchotels/IHL02,BUY
13788200,ICICI Securities,2026-01-23,Buy InterGlobe Aviation; target of Rs 5680: ICICI Securities,https://images.moneycontrol.com/static-mcnews/2026/01/20260123090655_InterGlobe-Aviation_23012026_ICICI-Securities.pdf,20260123143752,"January 23, 2026",2026-01-23,20260123,5680,4703.9,IA05,Interglobe Aviation,Interglobe Avi,4678.20,39.80,0.86,-0.5,21.4,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '5680', 'target_price_date': '23/01/2026', 'P_ORGANIZATION': 'ICICI Securities'}, 'previous': []}",transportlogistics/interglobeaviation/IA04,BUY
