Date,Trend,ScannerName,ScannerCode,Category,MC_nsCode,MC_StkId,MC_StkName,LTP_MC,NSE_SYMBOL,SERIES,PREV_CLOSE,OPEN,HIGH,LOW,CLOSE,AVG_PRICE,VOLUME,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,IndicatorFile,MatchType
08-Apr-2026,Bearish,,,,,,Torrent Pharma,4029.2,TORNTPHARM,EQ,4051.3,4098.9,4098.9,3997.7,4029.2,4030.31,434801,17523.83,53466, 230724, 53.06,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,C E Info,936.95,MAPMYINDIA,EQ,883.65,926.1,939.95,894.05,936.95,923.6,120471,1112.67,8554, 50341, 41.79,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Syngene Intl,399.05,SYNGENE,EQ,390.9,399.45,402.4,395.65,399.05,397.59,1758813,6992.81,17652, 1270852, 72.26,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,AWL Agri,178.98,AWL,EQ,179.06,184.0,184.8,178.15,178.98,180.94,8423584,15241.94,73185, 4100202, 48.68,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Sonata,245.94,SONATSOFTW,EQ,236.06,244.95,248.24,238.5,245.94,242.98,680955,1654.59,18720, 251213, 36.89,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,IDBI Bank,73.57,IDBI,EQ,69.64,73.0,76.21,72.22,73.57,73.97,32852502,24300.6,69609, 12136258, 36.94,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Zensar Tech,549.75,ZENSARTECH,EQ,547.9,560.0,560.0,547.5,549.75,551.77,687150,3791.51,23751, 446684, 65.01,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,Cyient,859.25,CYIENT,EQ,832.35,864.0,864.0,836.0,859.25,849.7,338644,2877.46,28514, 134677, 39.77,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,APTUS VALUE,211.89,APTUS,EQ,199.76,210.95,213.12,205.27,211.89,210.37,3422473,7199.86,54625, 2123657, 62.05,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Emami,417.3,EMAMILTD,EQ,410.3,422.0,423.25,414.5,417.3,418.94,585310,2452.08,22876, 282547, 48.27,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Bata India,704.15,BATAINDIA,EQ,669.5,693.0,709.0,678.1,704.15,698.1,228018,1591.78,14175, 107953, 47.34,bearish.csv,Name_Exact
